,ID,Age,Gender,Version,Task,Idx,Left,Right,Item,Acc,Time,Manipulation,Study,Target_or_foil,Item_type,Training_or_control,blindtested
27,102,5.457865169,1,2,N,11,85,850,85 vs 850,1,posttest,Random,1,NA,completely novel,Training,N
28,102,5.457865169,1,2,N,12,12,22,12 vs 22,0,posttest,Random,1,NA,completely novel,Training,N
29,102,5.457865169,1,2,N,13,350,305,350 vs 305,1,posttest,Random,1,foil,partial novel,Training,N
30,102,5.457865169,1,2,N,14,8,2,8 vs 2,1,posttest,Random,1,target,partial novel,Training,N
31,102,5.457865169,1,2,N,15,1000,100,1000 vs 100,1,posttest,Random,1,foil,partial novel,Training,N
32,102,5.457865169,1,2,N,16,206,260,206 vs 260,1,posttest,Random,1,NA,completely novel,Training,N
33,103,5.91011236,1,2,N,1,36,306,36 vs 306,0,pretest,Clustered,1,NA,completely novel,Training,N
34,103,5.91011236,1,2,N,2,15,5,15 vs 5,1,pretest,Clustered,1,foil,partial novel,Training,N
35,103,5.91011236,1,2,N,3,1002,1020,1002 vs 1020,0,pretest,Clustered,1,NA,completely novel,Training,N
36,103,5.91011236,1,2,N,4,11,24,11 vs 24,1,pretest,Clustered,1,NA,completely novel,Training,N
37,103,5.91011236,1,2,N,5,670,67,670 vs 67,0,pretest,Clustered,1,foil,partial novel,Training,N
38,103,5.91011236,1,2,N,6,402,42,402 vs 42,0,pretest,Clustered,1,foil,partial novel,Training,N
39,103,5.91011236,1,2,N,7,64,604,64 vs 604,0,pretest,Clustered,1,NA,completely novel,Training,N
40,103,5.91011236,1,2,N,8,201,21,201 vs 21,0,pretest,Clustered,1,target,partial novel,Training,N
41,103,5.91011236,1,2,N,9,105,125,105 vs 125,0,pretest,Clustered,1,foil,partial novel,Training,N
42,103,5.91011236,1,2,N,10,807,78,807 vs 78,0,pretest,Clustered,1,NA,completely novel,Training,N
43,103,5.91011236,1,2,N,11,85,850,85 vs 850,0,pretest,Clustered,1,NA,completely novel,Training,N
44,103,5.91011236,1,2,N,12,12,22,12 vs 22,0,pretest,Clustered,1,NA,completely novel,Training,N
45,103,5.91011236,1,2,N,13,350,305,350 vs 305,1,pretest,Clustered,1,foil,partial novel,Training,N
46,103,5.91011236,1,2,N,14,8,2,8 vs 2,1,pretest,Clustered,1,target,partial novel,Training,N
47,103,5.91011236,1,2,N,15,1000,100,1000 vs 100,0,pretest,Clustered,1,foil,partial novel,Training,N
48,103,5.91011236,1,2,N,16,206,260,206 vs 260,1,pretest,Clustered,1,NA,completely novel,Training,N
49,103,5.91011236,1,1,N,1,11,24,11 vs 24,1,posttest,Clustered,1,NA,completely novel,Training,N
50,103,5.91011236,1,1,N,2,201,21,201 vs 21,1,posttest,Clustered,1,target,partial novel,Training,N
51,103,5.91011236,1,1,N,3,8,2,8 vs 2,1,posttest,Clustered,1,target,partial novel,Training,N
52,103,5.91011236,1,1,N,4,12,22,12 vs 22,0,posttest,Clustered,1,NA,completely novel,Training,N
53,103,5.91011236,1,1,N,5,105,125,105 vs 125,1,posttest,Clustered,1,foil,partial novel,Training,N
54,103,5.91011236,1,1,N,6,1000,100,1000 vs 100,0,posttest,Clustered,1,foil,partial novel,Training,N
55,103,5.91011236,1,1,N,7,15,5,15 vs 5,1,posttest,Clustered,1,foil,partial novel,Training,N
56,103,5.91011236,1,1,N,8,350,305,350 vs 305,1,posttest,Clustered,1,foil,partial novel,Training,N
57,103,5.91011236,1,1,N,9,64,604,64 vs 604,0,posttest,Clustered,1,NA,completely novel,Training,N
58,103,5.91011236,1,1,N,10,206,260,206 vs 260,1,posttest,Clustered,1,NA,completely novel,Training,N
59,103,5.91011236,1,1,N,11,402,42,402 vs 42,1,posttest,Clustered,1,foil,partial novel,Training,N
60,103,5.91011236,1,1,N,12,36,306,36 vs 306,0,posttest,Clustered,1,NA,completely novel,Training,N
61,103,5.91011236,1,1,N,13,670,67,670 vs 67,1,posttest,Clustered,1,foil,partial novel,Training,N
62,103,5.91011236,1,1,N,14,85,850,85 vs 850,0,posttest,Clustered,1,NA,completely novel,Training,N
63,103,5.91011236,1,1,N,15,807,78,807 vs 78,0,posttest,Clustered,1,NA,completely novel,Training,N
64,103,5.91011236,1,1,N,16,1002,1020,1002 vs 1020,1,posttest,Clustered,1,NA,completely novel,Training,N
65,105,3.924157303,1,1,N,1,11,24,11 vs 24,1,pretest,Random,1,NA,completely novel,Training,N
66,105,3.924157303,1,1,N,2,201,21,201 vs 21,1,pretest,Random,1,target,partial novel,Training,N
67,105,3.924157303,1,1,N,3,8,2,8 vs 2,1,pretest,Random,1,target,partial novel,Training,N
68,105,3.924157303,1,1,N,4,12,22,12 vs 22,0,pretest,Random,1,NA,completely novel,Training,N
69,105,3.924157303,1,1,N,5,105,125,105 vs 125,1,pretest,Random,1,foil,partial novel,Training,N
70,105,3.924157303,1,1,N,6,1000,100,1000 vs 100,1,pretest,Random,1,foil,partial novel,Training,N
71,105,3.924157303,1,1,N,7,15,5,15 vs 5,1,pretest,Random,1,foil,partial novel,Training,N
72,105,3.924157303,1,1,N,8,350,305,350 vs 305,0,pretest,Random,1,foil,partial novel,Training,N
73,105,3.924157303,1,1,N,9,64,604,64 vs 604,0,pretest,Random,1,NA,completely novel,Training,N
74,105,3.924157303,1,1,N,10,206,260,206 vs 260,1,pretest,Random,1,NA,completely novel,Training,N
75,105,3.924157303,1,1,N,11,402,42,402 vs 42,1,pretest,Random,1,foil,partial novel,Training,N
76,105,3.924157303,1,1,N,12,36,306,36 vs 306,0,pretest,Random,1,NA,completely novel,Training,N
77,105,3.924157303,1,1,N,13,670,67,670 vs 67,1,pretest,Random,1,foil,partial novel,Training,N
78,105,3.924157303,1,1,N,14,85,850,85 vs 850,0,pretest,Random,1,NA,completely novel,Training,N
79,105,3.924157303,1,1,N,15,807,78,807 vs 78,1,pretest,Random,1,NA,completely novel,Training,N
80,105,3.924157303,1,1,N,16,1002,1020,1002 vs 1020,0,pretest,Random,1,NA,completely novel,Training,N
81,105,3.924157303,1,2,N,1,36,306,36 vs 306,0,posttest,Random,1,NA,completely novel,Training,N
82,105,3.924157303,1,2,N,2,15,5,15 vs 5,1,posttest,Random,1,foil,partial novel,Training,N
83,105,3.924157303,1,2,N,3,1002,1020,1002 vs 1020,0,posttest,Random,1,NA,completely novel,Training,N
84,105,3.924157303,1,2,N,4,11,24,11 vs 24,1,posttest,Random,1,NA,completely novel,Training,N
85,105,3.924157303,1,2,N,5,670,67,670 vs 67,1,posttest,Random,1,foil,partial novel,Training,N
86,105,3.924157303,1,2,N,6,402,42,402 vs 42,1,posttest,Random,1,foil,partial novel,Training,N
87,105,3.924157303,1,2,N,7,64,604,64 vs 604,0,posttest,Random,1,NA,completely novel,Training,N
88,105,3.924157303,1,2,N,8,201,21,201 vs 21,1,posttest,Random,1,target,partial novel,Training,N
89,105,3.924157303,1,2,N,9,105,125,105 vs 125,1,posttest,Random,1,foil,partial novel,Training,N
90,105,3.924157303,1,2,N,10,807,78,807 vs 78,0,posttest,Random,1,NA,completely novel,Training,N
91,105,3.924157303,1,2,N,11,85,850,85 vs 850,1,posttest,Random,1,NA,completely novel,Training,N
92,105,3.924157303,1,2,N,12,12,22,12 vs 22,1,posttest,Random,1,NA,completely novel,Training,N
93,105,3.924157303,1,2,N,13,350,305,350 vs 305,0,posttest,Random,1,foil,partial novel,Training,N
94,105,3.924157303,1,2,N,14,8,2,8 vs 2,1,posttest,Random,1,target,partial novel,Training,N
95,105,3.924157303,1,2,N,15,1000,100,1000 vs 100,0,posttest,Random,1,foil,partial novel,Training,N
96,105,3.924157303,1,2,N,16,206,260,206 vs 260,0,posttest,Random,1,NA,completely novel,Training,N
97,106,5.54494382,1,1,N,1,11,24,11 vs 24,1,pretest,Clustered,1,NA,completely novel,Training,N
98,106,5.54494382,1,1,N,2,201,21,201 vs 21,1,pretest,Clustered,1,target,partial novel,Training,N
99,106,5.54494382,1,1,N,3,8,2,8 vs 2,1,pretest,Clustered,1,target,partial novel,Training,N
100,106,5.54494382,1,1,N,4,12,22,12 vs 22,1,pretest,Clustered,1,NA,completely novel,Training,N
101,106,5.54494382,1,1,N,5,105,125,105 vs 125,1,pretest,Clustered,1,foil,partial novel,Training,N
102,106,5.54494382,1,1,N,6,1000,100,1000 vs 100,0,pretest,Clustered,1,foil,partial novel,Training,N
103,106,5.54494382,1,1,N,7,15,5,15 vs 5,1,pretest,Clustered,1,foil,partial novel,Training,N
104,106,5.54494382,1,1,N,8,350,305,350 vs 305,0,pretest,Clustered,1,foil,partial novel,Training,N
105,106,5.54494382,1,1,N,9,64,604,64 vs 604,1,pretest,Clustered,1,NA,completely novel,Training,N
106,106,5.54494382,1,1,N,10,206,260,206 vs 260,1,pretest,Clustered,1,NA,completely novel,Training,N
107,106,5.54494382,1,1,N,11,402,42,402 vs 42,1,pretest,Clustered,1,foil,partial novel,Training,N
108,106,5.54494382,1,1,N,12,36,306,36 vs 306,1,pretest,Clustered,1,NA,completely novel,Training,N
109,106,5.54494382,1,1,N,13,670,67,670 vs 67,1,pretest,Clustered,1,foil,partial novel,Training,N
110,106,5.54494382,1,1,N,14,85,850,85 vs 850,1,pretest,Clustered,1,NA,completely novel,Training,N
111,106,5.54494382,1,1,N,15,807,78,807 vs 78,1,pretest,Clustered,1,NA,completely novel,Training,N
112,106,5.54494382,1,1,N,16,1002,1020,1002 vs 1020,1,pretest,Clustered,1,NA,completely novel,Training,N
113,106,5.54494382,1,2,N,1,36,306,36 vs 306,1,posttest,Clustered,1,NA,completely novel,Training,N
114,106,5.54494382,1,2,N,2,15,5,15 vs 5,1,posttest,Clustered,1,foil,partial novel,Training,N
115,106,5.54494382,1,2,N,3,1002,1020,1002 vs 1020,1,posttest,Clustered,1,NA,completely novel,Training,N
116,106,5.54494382,1,2,N,4,11,24,11 vs 24,1,posttest,Clustered,1,NA,completely novel,Training,N
117,106,5.54494382,1,2,N,5,670,67,670 vs 67,1,posttest,Clustered,1,foil,partial novel,Training,N
118,106,5.54494382,1,2,N,6,402,42,402 vs 42,1,posttest,Clustered,1,foil,partial novel,Training,N
119,106,5.54494382,1,2,N,7,64,604,64 vs 604,1,posttest,Clustered,1,NA,completely novel,Training,N
120,106,5.54494382,1,2,N,8,201,21,201 vs 21,1,posttest,Clustered,1,target,partial novel,Training,N
121,106,5.54494382,1,2,N,9,105,125,105 vs 125,1,posttest,Clustered,1,foil,partial novel,Training,N
122,106,5.54494382,1,2,N,10,807,78,807 vs 78,1,posttest,Clustered,1,NA,completely novel,Training,N
123,106,5.54494382,1,2,N,11,85,850,85 vs 850,1,posttest,Clustered,1,NA,completely novel,Training,N
124,106,5.54494382,1,2,N,12,12,22,12 vs 22,1,posttest,Clustered,1,NA,completely novel,Training,N
125,106,5.54494382,1,2,N,13,350,305,350 vs 305,0,posttest,Clustered,1,foil,partial novel,Training,N
126,106,5.54494382,1,2,N,14,8,2,8 vs 2,1,posttest,Clustered,1,target,partial novel,Training,N
127,106,5.54494382,1,2,N,15,1000,100,1000 vs 100,1,posttest,Clustered,1,foil,partial novel,Training,N
128,106,5.54494382,1,2,N,16,206,260,206 vs 260,0,posttest,Clustered,1,NA,completely novel,Training,N
129,108,5.084269663,1,2,N,1,36,306,36 vs 306,0,pretest,Random,1,NA,completely novel,Training,N
130,108,5.084269663,1,2,N,2,15,5,15 vs 5,1,pretest,Random,1,foil,partial novel,Training,N
131,108,5.084269663,1,2,N,3,1002,1020,1002 vs 1020,0,pretest,Random,1,NA,completely novel,Training,N
132,108,5.084269663,1,2,N,4,11,24,11 vs 24,1,pretest,Random,1,NA,completely novel,Training,N
133,108,5.084269663,1,2,N,5,670,67,670 vs 67,0,pretest,Random,1,foil,partial novel,Training,N
134,108,5.084269663,1,2,N,6,402,42,402 vs 42,1,pretest,Random,1,foil,partial novel,Training,N
135,108,5.084269663,1,2,N,7,64,604,64 vs 604,0,pretest,Random,1,NA,completely novel,Training,N
136,108,5.084269663,1,2,N,8,201,21,201 vs 21,0,pretest,Random,1,target,partial novel,Training,N
137,108,5.084269663,1,2,N,9,105,125,105 vs 125,1,pretest,Random,1,foil,partial novel,Training,N
138,108,5.084269663,1,2,N,10,807,78,807 vs 78,0,pretest,Random,1,NA,completely novel,Training,N
139,108,5.084269663,1,2,N,11,85,850,85 vs 850,1,pretest,Random,1,NA,completely novel,Training,N
140,108,5.084269663,1,2,N,12,12,22,12 vs 22,0,pretest,Random,1,NA,completely novel,Training,N
141,108,5.084269663,1,2,N,13,350,305,350 vs 305,1,pretest,Random,1,foil,partial novel,Training,N
142,108,5.084269663,1,2,N,14,8,2,8 vs 2,1,pretest,Random,1,target,partial novel,Training,N
143,108,5.084269663,1,2,N,15,1000,100,1000 vs 100,1,pretest,Random,1,foil,partial novel,Training,N
144,108,5.084269663,1,2,N,16,206,260,206 vs 260,0,pretest,Random,1,NA,completely novel,Training,N
145,108,5.084269663,1,1,N,1,11,24,11 vs 24,1,posttest,Random,1,NA,completely novel,Training,N
146,108,5.084269663,1,1,N,2,201,21,201 vs 21,1,posttest,Random,1,target,partial novel,Training,N
147,108,5.084269663,1,1,N,3,8,2,8 vs 2,1,posttest,Random,1,target,partial novel,Training,N
148,108,5.084269663,1,1,N,4,12,22,12 vs 22,0,posttest,Random,1,NA,completely novel,Training,N
149,108,5.084269663,1,1,N,5,105,125,105 vs 125,0,posttest,Random,1,foil,partial novel,Training,N
150,108,5.084269663,1,1,N,6,1000,100,1000 vs 100,1,posttest,Random,1,foil,partial novel,Training,N
151,108,5.084269663,1,1,N,7,15,5,15 vs 5,1,posttest,Random,1,foil,partial novel,Training,N
152,108,5.084269663,1,1,N,8,350,305,350 vs 305,1,posttest,Random,1,foil,partial novel,Training,N
153,108,5.084269663,1,1,N,9,64,604,64 vs 604,0,posttest,Random,1,NA,completely novel,Training,N
154,108,5.084269663,1,1,N,10,206,260,206 vs 260,1,posttest,Random,1,NA,completely novel,Training,N
155,108,5.084269663,1,1,N,11,402,42,402 vs 42,1,posttest,Random,1,foil,partial novel,Training,N
156,108,5.084269663,1,1,N,12,36,306,36 vs 306,0,posttest,Random,1,NA,completely novel,Training,N
157,108,5.084269663,1,1,N,13,670,67,670 vs 67,1,posttest,Random,1,foil,partial novel,Training,N
158,108,5.084269663,1,1,N,14,85,850,85 vs 850,1,posttest,Random,1,NA,completely novel,Training,N
159,108,5.084269663,1,1,N,15,807,78,807 vs 78,1,posttest,Random,1,NA,completely novel,Training,N
160,108,5.084269663,1,1,N,16,1002,1020,1002 vs 1020,1,posttest,Random,1,NA,completely novel,Training,N
161,109,3.915730337,1,1,N,1,11,24,11 vs 24,1,pretest,Clustered,1,NA,completely novel,Training,N
162,109,3.915730337,1,1,N,2,201,21,201 vs 21,1,pretest,Clustered,1,target,partial novel,Training,N
163,109,3.915730337,1,1,N,3,8,2,8 vs 2,1,pretest,Clustered,1,target,partial novel,Training,N
164,109,3.915730337,1,1,N,4,12,22,12 vs 22,1,pretest,Clustered,1,NA,completely novel,Training,N
165,109,3.915730337,1,1,N,5,105,125,105 vs 125,1,pretest,Clustered,1,foil,partial novel,Training,N
166,109,3.915730337,1,1,N,6,1000,100,1000 vs 100,0,pretest,Clustered,1,foil,partial novel,Training,N
167,109,3.915730337,1,1,N,7,15,5,15 vs 5,1,pretest,Clustered,1,foil,partial novel,Training,N
168,109,3.915730337,1,1,N,8,350,305,350 vs 305,1,pretest,Clustered,1,foil,partial novel,Training,N
169,109,3.915730337,1,1,N,9,64,604,64 vs 604,1,pretest,Clustered,1,NA,completely novel,Training,N
170,109,3.915730337,1,1,N,10,206,260,206 vs 260,1,pretest,Clustered,1,NA,completely novel,Training,N
171,109,3.915730337,1,1,N,11,402,42,402 vs 42,1,pretest,Clustered,1,foil,partial novel,Training,N
172,109,3.915730337,1,1,N,12,36,306,36 vs 306,1,pretest,Clustered,1,NA,completely novel,Training,N
173,109,3.915730337,1,1,N,13,670,67,670 vs 67,1,pretest,Clustered,1,foil,partial novel,Training,N
174,109,3.915730337,1,1,N,14,85,850,85 vs 850,1,pretest,Clustered,1,NA,completely novel,Training,N
175,109,3.915730337,1,1,N,15,807,78,807 vs 78,1,pretest,Clustered,1,NA,completely novel,Training,N
176,109,3.915730337,1,1,N,16,1002,1020,1002 vs 1020,0,pretest,Clustered,1,NA,completely novel,Training,N
177,109,3.915730337,1,2,N,1,36,306,36 vs 306,1,posttest,Clustered,1,NA,completely novel,Training,N
178,109,3.915730337,1,2,N,2,15,5,15 vs 5,1,posttest,Clustered,1,foil,partial novel,Training,N
179,109,3.915730337,1,2,N,3,1002,1020,1002 vs 1020,1,posttest,Clustered,1,NA,completely novel,Training,N
180,109,3.915730337,1,2,N,4,11,24,11 vs 24,1,posttest,Clustered,1,NA,completely novel,Training,N
181,109,3.915730337,1,2,N,5,670,67,670 vs 67,1,posttest,Clustered,1,foil,partial novel,Training,N
182,109,3.915730337,1,2,N,6,402,42,402 vs 42,1,posttest,Clustered,1,foil,partial novel,Training,N
183,109,3.915730337,1,2,N,7,64,604,64 vs 604,1,posttest,Clustered,1,NA,completely novel,Training,N
184,109,3.915730337,1,2,N,8,201,21,201 vs 21,1,posttest,Clustered,1,target,partial novel,Training,N
185,109,3.915730337,1,2,N,9,105,125,105 vs 125,1,posttest,Clustered,1,foil,partial novel,Training,N
186,109,3.915730337,1,2,N,10,807,78,807 vs 78,1,posttest,Clustered,1,NA,completely novel,Training,N
187,109,3.915730337,1,2,N,11,85,850,85 vs 850,1,posttest,Clustered,1,NA,completely novel,Training,N
188,109,3.915730337,1,2,N,12,12,22,12 vs 22,0,posttest,Clustered,1,NA,completely novel,Training,N
189,109,3.915730337,1,2,N,13,350,305,350 vs 305,0,posttest,Clustered,1,foil,partial novel,Training,N
190,109,3.915730337,1,2,N,14,8,2,8 vs 2,1,posttest,Clustered,1,target,partial novel,Training,N
191,109,3.915730337,1,2,N,15,1000,100,1000 vs 100,0,posttest,Clustered,1,foil,partial novel,Training,N
192,109,3.915730337,1,2,N,16,206,260,206 vs 260,1,posttest,Clustered,1,NA,completely novel,Training,N
193,110,3.176966292,1,2,N,1,36,306,36 vs 306,1,pretest,Clustered,1,NA,completely novel,Training,N
194,110,3.176966292,1,2,N,2,15,5,15 vs 5,0,pretest,Clustered,1,foil,partial novel,Training,N
195,110,3.176966292,1,2,N,3,1002,1020,1002 vs 1020,0,pretest,Clustered,1,NA,completely novel,Training,N
196,110,3.176966292,1,2,N,4,11,24,11 vs 24,1,pretest,Clustered,1,NA,completely novel,Training,N
197,110,3.176966292,1,2,N,5,670,67,670 vs 67,1,pretest,Clustered,1,foil,partial novel,Training,N
198,110,3.176966292,1,2,N,6,402,42,402 vs 42,1,pretest,Clustered,1,foil,partial novel,Training,N
199,110,3.176966292,1,2,N,7,64,604,64 vs 604,0,pretest,Clustered,1,NA,completely novel,Training,N
200,110,3.176966292,1,2,N,8,201,21,201 vs 21,1,pretest,Clustered,1,target,partial novel,Training,N
201,110,3.176966292,1,2,N,9,105,125,105 vs 125,1,pretest,Clustered,1,foil,partial novel,Training,N
202,110,3.176966292,1,2,N,10,807,78,807 vs 78,1,pretest,Clustered,1,NA,completely novel,Training,N
203,110,3.176966292,1,2,N,11,85,850,85 vs 850,0,pretest,Clustered,1,NA,completely novel,Training,N
204,110,3.176966292,1,2,N,12,12,22,12 vs 22,0,pretest,Clustered,1,NA,completely novel,Training,N
205,110,3.176966292,1,2,N,13,350,305,350 vs 305,0,pretest,Clustered,1,foil,partial novel,Training,N
206,110,3.176966292,1,2,N,14,8,2,8 vs 2,1,pretest,Clustered,1,target,partial novel,Training,N
207,110,3.176966292,1,2,N,15,1000,100,1000 vs 100,1,pretest,Clustered,1,foil,partial novel,Training,N
208,110,3.176966292,1,2,N,16,206,260,206 vs 260,0,pretest,Clustered,1,NA,completely novel,Training,N
209,110,3.176966292,1,1,N,1,11,24,11 vs 24,1,posttest,Clustered,1,NA,completely novel,Training,N
210,110,3.176966292,1,1,N,2,201,21,201 vs 21,1,posttest,Clustered,1,target,partial novel,Training,N
211,110,3.176966292,1,1,N,3,8,2,8 vs 2,1,posttest,Clustered,1,target,partial novel,Training,N
212,110,3.176966292,1,1,N,4,12,22,12 vs 22,1,posttest,Clustered,1,NA,completely novel,Training,N
213,110,3.176966292,1,1,N,5,105,125,105 vs 125,1,posttest,Clustered,1,foil,partial novel,Training,N
214,110,3.176966292,1,1,N,6,1000,100,1000 vs 100,1,posttest,Clustered,1,foil,partial novel,Training,N
215,110,3.176966292,1,1,N,7,15,5,15 vs 5,1,posttest,Clustered,1,foil,partial novel,Training,N
216,110,3.176966292,1,1,N,8,350,305,350 vs 305,0,posttest,Clustered,1,foil,partial novel,Training,N
217,110,3.176966292,1,1,N,9,64,604,64 vs 604,0,posttest,Clustered,1,NA,completely novel,Training,N
218,110,3.176966292,1,1,N,10,206,260,206 vs 260,1,posttest,Clustered,1,NA,completely novel,Training,N
219,110,3.176966292,1,1,N,11,402,42,402 vs 42,0,posttest,Clustered,1,foil,partial novel,Training,N
220,110,3.176966292,1,1,N,12,36,306,36 vs 306,0,posttest,Clustered,1,NA,completely novel,Training,N
221,110,3.176966292,1,1,N,13,670,67,670 vs 67,0,posttest,Clustered,1,foil,partial novel,Training,N
222,110,3.176966292,1,1,N,14,85,850,85 vs 850,0,posttest,Clustered,1,NA,completely novel,Training,N
223,110,3.176966292,1,1,N,15,807,78,807 vs 78,1,posttest,Clustered,1,NA,completely novel,Training,N
224,110,3.176966292,1,1,N,16,1002,1020,1002 vs 1020,0,posttest,Clustered,1,NA,completely novel,Training,N
225,112,5.792134831,1,1,N,1,11,24,11 vs 24,1,pretest,Random,1,NA,completely novel,Training,N
226,112,5.792134831,1,1,N,2,201,21,201 vs 21,0,pretest,Random,1,target,partial novel,Training,N
227,112,5.792134831,1,1,N,3,8,2,8 vs 2,1,pretest,Random,1,target,partial novel,Training,N
228,112,5.792134831,1,1,N,4,12,22,12 vs 22,0,pretest,Random,1,NA,completely novel,Training,N
229,112,5.792134831,1,1,N,5,105,125,105 vs 125,1,pretest,Random,1,foil,partial novel,Training,N
230,112,5.792134831,1,1,N,6,1000,100,1000 vs 100,1,pretest,Random,1,foil,partial novel,Training,N
231,112,5.792134831,1,1,N,7,15,5,15 vs 5,1,pretest,Random,1,foil,partial novel,Training,N
232,112,5.792134831,1,1,N,8,350,305,350 vs 305,0,pretest,Random,1,foil,partial novel,Training,N
233,112,5.792134831,1,1,N,9,64,604,64 vs 604,0,pretest,Random,1,NA,completely novel,Training,N
234,112,5.792134831,1,1,N,10,206,260,206 vs 260,1,pretest,Random,1,NA,completely novel,Training,N
235,112,5.792134831,1,1,N,11,402,42,402 vs 42,0,pretest,Random,1,foil,partial novel,Training,N
236,112,5.792134831,1,1,N,12,36,306,36 vs 306,0,pretest,Random,1,NA,completely novel,Training,N
237,112,5.792134831,1,1,N,13,670,67,670 vs 67,0,pretest,Random,1,foil,partial novel,Training,N
238,112,5.792134831,1,1,N,14,85,850,85 vs 850,1,pretest,Random,1,NA,completely novel,Training,N
239,112,5.792134831,1,1,N,15,807,78,807 vs 78,0,pretest,Random,1,NA,completely novel,Training,N
240,112,5.792134831,1,1,N,16,1002,1020,1002 vs 1020,1,pretest,Random,1,NA,completely novel,Training,N
241,112,5.792134831,1,2,N,1,36,306,36 vs 306,0,posttest,Random,1,NA,completely novel,Training,N
242,112,5.792134831,1,2,N,2,15,5,15 vs 5,1,posttest,Random,1,foil,partial novel,Training,N
243,112,5.792134831,1,2,N,3,1002,1020,1002 vs 1020,1,posttest,Random,1,NA,completely novel,Training,N
244,112,5.792134831,1,2,N,4,11,24,11 vs 24,1,posttest,Random,1,NA,completely novel,Training,N
245,112,5.792134831,1,2,N,5,670,67,670 vs 67,0,posttest,Random,1,foil,partial novel,Training,N
246,112,5.792134831,1,2,N,6,402,42,402 vs 42,0,posttest,Random,1,foil,partial novel,Training,N
247,112,5.792134831,1,2,N,7,64,604,64 vs 604,0,posttest,Random,1,NA,completely novel,Training,N
248,112,5.792134831,1,2,N,8,201,21,201 vs 21,0,posttest,Random,1,target,partial novel,Training,N
249,112,5.792134831,1,2,N,9,105,125,105 vs 125,1,posttest,Random,1,foil,partial novel,Training,N
250,112,5.792134831,1,2,N,10,807,78,807 vs 78,0,posttest,Random,1,NA,completely novel,Training,N
251,112,5.792134831,1,2,N,11,85,850,85 vs 850,0,posttest,Random,1,NA,completely novel,Training,N
252,112,5.792134831,1,2,N,12,12,22,12 vs 22,1,posttest,Random,1,NA,completely novel,Training,N
253,112,5.792134831,1,2,N,13,350,305,350 vs 305,1,posttest,Random,1,foil,partial novel,Training,N
254,112,5.792134831,1,2,N,14,8,2,8 vs 2,1,posttest,Random,1,target,partial novel,Training,N
255,112,5.792134831,1,2,N,15,1000,100,1000 vs 100,1,posttest,Random,1,foil,partial novel,Training,N
